ID,listing_date,type,category,Bedrooms,bathrooms,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,county,view,final_rent_price_usd
1,2024-07-27,adu,rent,3.0,1.0,120.0,1,old,no,,unknown,,mansour,,3000.0
2,2024-07-27,house,rent,3.0,1.0,100.0,,good,,,unknown,,mansour,corner,2000.0
3,2024-07-27,house,rent,5.0,3.0,600.0,2,good,no,,unknown,,mansour,highway,3000.0
4,2024-07-26,apartment,rent,1.0,1.0,90.0,1,good,fully,,unknown,,mansour,,1200.0
5,2024-07-28,house,rent,3.0,3.0,100.0,2,new,half,2023.0,unknown,,mansour,neighbourhood,4000.0
6,2024-07-26,apartment,rent,2.0,1.0,100.0,1,good,no,,unknown,,mansour,,800.0
10,2024-08-02,apartment,rent,3.0,1.0,155.0,1,new,,,unknown,,mansour,,900.0
13,2024-01-15,apartment,rent,2.0,1.0,100.0,1,good,fully,,unknown,3.0,mansour,neighbourhood,1600.0
14,2023-12-21,apartment,rent,2.0,1.0,100.0,1,good,fully,,unknown,2.0,mansour,,1160.0
20,2024-04-26,apartment,rent,2.0,1.0,130.0,1,good,no,,unknown,1.0,mansour,neighbourhood,700.0
22,2024-05-05,apartment,rent,2.0,2.0,,,,,,unknown,3.0,mansour,,500.0
23,2023-09-11,house,rent,,,375.0,,good,,,unknown,,mansour,neighbourhood,5000.0
26,2023-11-21,house,rent,12.0,3.0,,,new,,,unknown,,mansour,,5000.0
36,2024-07-31,adu,rent,3.0,2.0,120.0,1,good,no,2023.0,unknown,,mansour,,1240.0
37,2024-07-29,house,rent,6.0,3.0,210.0,2,good,no,,unknown,,mansour,,2610.0
38,2024-07-29,house,rent,3.0,2.0,130.0,,good,half,2017.0,unknown,,mansour,neighbourhood,1300.0
39,2024-07-26,adu,rent,2.0,2.0,60.0,2,good,half,,unknown,,mansour,neighbourhood,1000.0
40,2024-07-21,house,rent,6.0,6.0,400.0,,good,no,2019.0,unknown,,mansour,,4500.0
41,2024-07-17,house,rent,3.0,3.0,200.0,2,good,no,2019.0,unknown,,mansour,,1160.0
42,2024-07-16,house,rent,4.0,3.0,100.0,3,new,no,2023.0,unknown,,mansour,,1450.0
43,2024-07-12,adu,rent,2.0,2.0,75.0,2,new,half,2019.0,unknown,,mansour,neighbourhood,1000.0
44,2024-07-06,house,rent,4.0,3.0,150.0,3,new,half,2021.0,unknown,,mansour,neighbourhood,1546.6666666666667
45,2024-07-06,house,rent,2.0,2.0,130.0,1,good,no,2019.0,unknown,,mansour,neighbourhood,800.0
46,2024-06-28,house,rent,4.0,3.0,150.0,2,new,no,2023.0,unknown,,mansour,,1300.0
47,2024-06-28,house,rent,4.0,3.0,150.0,2,new,,2023.0,unknown,,mansour,,1700.0
48,2024-06-28,house,rent,5.0,4.0,400.0,2,new,,2023.0,unknown,,mansour,,2500.0
49,2024-06-28,house,rent,5.0,4.0,400.0,2,good,,,unknown,,mansour,,2000.0
50,2024-06-27,house,rent,5.0,7.0,440.0,3,good,fully,,unknown,,mansour,neighbourhood,10000.0
51,2024-06-27,house,rent,4.0,4.0,200.0,2,good,no,2020.0,unknown,,mansour,,1600.0
52,2024-06-26,house,rent,3.0,2.0,68.0,3,new,no,2023.0,unknown,,mansour,neighbourhood,1000.0
53,2024-06-25,house,rent,2.0,1.0,100.0,2,old,fully,2004.0,unknown,,mansour,neighbourhood,733.3333333333334
54,2024-06-14,house,rent,2.0,2.0,150.0,2,new,no,2023.0,unknown,,mansour,,1200.0
55,2024-06-12,house,rent,4.0,4.0,400.0,2,new,no,2023.0,unknown,,mansour,,2416.6666666666665
56,2024-06-08,house,rent,4.0,4.0,150.0,3,good,no,,unknown,,mansour,,1740.0
