ID,listing_date,type,category,selling_price_per_meter_usd,selling_price_per_meter_iqdr,rent_price_iqdr,Bedrooms,bathrooms,balcony,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,view,frontage,rent_price_usd
7,2024-07-25,apartment,sale,,,,3.0,1.0,,172.0,1,new,no,,unknown,10.0,,mansour,neighbourhood,,1400.0
8,2024-05-07,apartment,sale,,,,3.0,2.0,,172.0,1,new,no,,unknown,9.0,,mansour,backyard,,
9,2024-04-27,apartment,sale,,,,3.0,1.0,,172.0,1,new,no,,unknown,7.0,,mansour,,,
11,2024-07-05,house,sale,,3000000.0,,,2.0,,50.0,,good,fully,,unknown,,,mansour,,7.0,
12,2024-02-05,house,sale,,4400000.0,,3.0,2.0,,84.0,2,good,no,2021.0,unknown,,,mansour,,4.0,
15,2023-12-05,house,sale,,,,3.0,3.0,,107.0,2,new,no,2023.0,unknown,,,mansour,neighbourhood,5.4,
16,2023-09-11,other,sale,,,,,,,90.0,3,new,,,unknown,,,mansour,,7.5,
17,2023-09-22,house,sale,3700.0,,,4.0,3.0,,225.0,2,good,no,2010.0,unknown,,mohandeseen,mansour,neighbourhood,8.0,
18,2023-11-06,other,sale,4380.0,,,,,,90.0,3,good,no,2023.0,unknown,,door alsood,mansour,neighbourhood,7.5,
19,2023-11-13,other,sale,4500.0,,,,,,108.0,3,good,no,2023.0,unknown,,door alsood,mansour,neighbourhood,10.0,
21,2024-07-06,house,sale,4000.0,,,,,,339.0,,old,,,unknown,,mohandeseen,mansour,neighbourhood,11.0,
24,2023-11-25,apartment,sale,1500.0,,,,,,172.0,,good,,,unknown,7.0,mansour city,mansour,,,
25,2023-11-21,house,sale,7500.0,,,12.0,3.0,,550.0,,new,,,unknown,,609 tabo street,mansour,,13.25,
27,2023-11-13,house,sale,13000.0,,,,,,325.0,,good,,,unknown,,mahdi khasaki,mansour,,15.0,
28,2023-11-16,house,sale,4200.0,,,5.0,,,250.0,2.5,new,,,unknown,,611,mansour,,7.6,
29,2023-11-16,house,sale,5000.0,,,,,,200.0,,good,,,unknown,,ameraat,mansour,,8.5,
30,2023-11-16,house,sale,6000.0,,,,,,100.0,,new,fully,2019.0,unknown,,mutanabi,mansour,neighbourhood,5.0,
31,2023-11-17,house,sale,4800.0,,,,,,201.0,,,,,unknown,,dawoodi,mansour,neighbourhood,6.25,
32,2024-07-26,house,sale,3090.0,,,3.0,3.0,,165.0,3,new,no,2023.0,unknown,,daragh,mansour,neighbourhood,,
33,2024-07-21,apartment,sale,1770.0,,,3.0,2.0,,198.0,1,new,no,2024.0,unknown,2.0,rawad,mansour,,,
34,2024-07-21,apartment,sale,1400.0,,,3.0,2.0,,193.0,1,new,no,2024.0,unknown,7.0,beiji,mansour,,,
35,2024-07-11,apartment,sale,,9302.325581,,3.0,3.0,,215.0,1,new,no,2024.0,unknown,8.0,beiji,mansour,,,
149,2024-08-23,apartment,sale,,3300000.0,,3.0,2.0,1.0,169.0,1,new,no,2024.0,urban,10.0,mansour city,mansour,north,,
150,2024-07-26,other,sale,,7395000.0,,3.0,3.0,,165.0,3,new,no,2024.0,suburb,,daragh,mansour,north,,
