ID,listing_date,type,category,selling_price_per_meter_usd,selling_price_per_meter_iqdr,rent_price_iqdr,Bedrooms,bathrooms,balcony,master bedroom,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,street,view,wajiha,sqmt_street,rent_price_usd
1,7/27/2024,adu,rent,,,,3,1,,,120,1,bad,no,,,,,dawoodi,,,-,,3000
2,7/27/2024,house,rent,,,,3,1,,,100,,medium,,,,,,dawoodi,,corner,,,2000
3,7/27/2024,house,rent,,,,5,3,,,600,2,good,no,,,,,spanish embassy,,highway,-,,3000
4,7/26/2024,apartment,rent,,,,1,1,,,90,1,good,yes,,,,,dawoodi,,,-,,1200
5,7/28/2024,house,rent,,,,3,3,,,100,2,excellent,half,2023,,,,14 ramadan,,neighbourhood,7,,4000
6,7/26/2024,apartment,rent,,,"1,200,000",2,1,,,100,1,good,no,,,,,dawoodi,,,-,,
7,07/25/2024,apartment,sell,"1,400",,,3,1,,,172,1,new,no,,,10,,mansour city,,internal neighbourhood,,,1400
8,05/07/2024,apartment,sell,"1,400.00",,,3,2,,1,172,1,new,no,,,9,,mansour city,,backyard,,,
9,04/27/2024,apartment,sell,"1,400,00",,,3,1,,,172,1,new,no,,,7,,mansour city,,,,,
11,08/02/2024,apartment,rent,,,,3,1,,,155,1,new,,,,,,mansour,,,,,900
12,07/05/2024,house,sell,,"300,000,000",,,2,,,50,,good,yes,,,,,darag mansour,,,7,,
13,02/05/2024,house,sell,,"440,000,000",,3,2,,,84,2,good,no,2021,,,,darag mansour,,,4,,
14,01/15/2024,apartment,rent,,,,2,1,,,100,1,good,fully,,,3,,mansour engineers,,neighbourhood,,,1600
15,12/21/2023,apartment,rent,,,,2,1,,,100,1,good,fully,,,2,,mansour 14 ramadan,,,11.5,,1160
16,12/05/2023,house,sell,"550,000",,,3,3,,,107,2,new,no,2023,,,,mansour andalous,,neighbourhood,5.4,,
17,9/11/2023,building,sell,,,,,,,,90,3,new,,,,,,mansour,,,7.5,,
18,09/22/2023,house,sell,3700,,,4,3,,2,225,2,good,no,2010,,,mohandeseen,mansour ,,neighnourhood,8,,
19,11/06/2023,building,sell,4380,,,,,,,90,3,good,no,2023,,,door alsood,mansour,,neighbourhood,7.5,,
20,11/13/2023,building,sell,4500,,,,,,,108,3,good,no,2023,,,door alsood,mansour,,neighbourhood,10,,
21,4/26/2024,apartment,rent,,,,2,1,,,130,1,good,no,,,1,daragh,mansour,,neighbourhood,,,700
22,7/6/2024,house,sell,4000,,,,,,,339,,old,,,,,mohandeseen,mansour,,neighbourhood,11,30,
23,5/5/2024,apartment,rent,,,,2,2,,,,,,,,,3,,mansour,,,,,500
24,9/11/2023,house,rent,,,,,,,,375,,good,,,,,rafidain bank/ 607,mansour,,neighbourhood,15,25,5000
25,11/25/2023,apartment,sell,1500,,,,,,,172,,good,,,,7,masour city in beija,mansour,,,,,
26,11/21/2023,house,sell,7500,,,12,3,,3,550,,new,,,,,609 tabo street,mansour,,,13.25,41.5,
27,11/21/2023,house,rent,,,,12,3,,3,,,new,,,,,609 tabo street,mansour,,,13.25,41.5,5000
28,11/13/2023,house,sell,13000,,,,,,,325,,good,,,,,mahdi khasaki ,mansour,,,15,21.6,
29,11/16/2023,house,sell,4200,,,5,,,,250,2.5,new,,,,,611,mansour,,,7.6,33,
30,11/16/2023,house,sell,5000,,,,,,,200,,good,,,,,ameraat,mansour,,,8.5,17,
31,11/16/2023,house,sell,6000,,,,,,,100,,lickable,fully,2019,,,mutanabi,mansour,,neighbourhood,5,20,
32,11/17/2023,house,sell,4800,,,,,,,201,,,,,,,dawoodi. 611,mansour,57,naighbourhood,6.25,33,
33,7/26/2024,house,sell,3090,,,3,3,,,165,3,new,no,2023,,,daragh,mansour,,neighbourhood,,,
34,7/21/2024,apartment,sell,1770,,,3,2,,,198,1,new,no,2024,,2,rawad,mansour,,,,,
35,7/21/2024,apartment,sell,1400,,,3,2,,,193,1,new,no,2024,,7,beijeia,mansour,,,,,
36,7/11/2024,apartment,sell,,9302.325581,,3,3,,,215,1,new,no,2024,,8,beijeia,mansour,,,,,
37,7/31/2024,adu,rent,,,,3,2,,,120,1,good,no,2023,,,dawoodi,mansour,,,,,1240
38,7/29/2024,house,rent,,,"3,915,000",6,3,,,210,2,good,no,,,,behind babylon mall,mansour,,,,,
39,7/29/2024,house,rent,,,,3,2,,,130,,good,half,6-9 y/.ago,,,,mansour,,neighbourhood,,,1300
40,7/26/2024,adu,rent,,,1500000,2,2,,,60,2,good,half,,,,beijia,mansour,,neighbourhood,,,
41,7/21/2024,house,rent,,,,6,6,,,400,,good,no,5 y ago,,,dawoodi,masnour,,,10,40,4500
42,7/17/2024,house,rent,,,"1,740,000",3,3,,,200,2,good,no,5 y ago ,,,,mansour,,,,,
43,7/16/2024,house,rent,,,"2,175,000",4,3,,,100,3,new,no,2023,,,alarabi,mansour,,,,20,
44,7/12/2024,adu,rent,,,"1,500,000",2,2,,,75,2,new,half,5 y ago,,,alarabi,mansour,,neighbourhood,,,
45,7/6/2024,house,rent,,,"2,320,000",4,3,,,150,3,new,half,3 ago,,,almutanabi,mansour,,neighbourhood,,,
